Molecule_ChEMBL_ID,Smiles,Standard_Value,Unit,Standardized_SMILES
CHEMBL3349433,OC[C@@]1(O)C[C@H](NCC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,240.0,nM,OCC1(O)CC(NCC2CCCCC2)C(O)C(O)C1O
CHEMBL5082173,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCCCCCCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)cc1,240.0,nM,COc1ccc(-c2oc3cc(OC)cc(OC)c3c(=O)c2OCCCCCCCCCCCN2CC(O)C(O)C(O)C2CO)cc1
CHEMBL3354622,C[C@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccc(-c2ccccc2)cc1,250.0,nM,CC(OCCCCCN1CC(O)C(O)C(O)C1CO)c1ccc(-c2ccccc2)cc1
CHEMBL3354624,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1F,250.0,nM,OCC1C(O)C(O)C(O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1F
CHEMBL3354025,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1,250.0,nM,OCC1C(O)C(O)C(O)CN1CCCCCOCc1ccc(-c2ccccc2)cc1
CHEMBL3349443,OC[C@@]1(O)C[C@H](NC/C=C/c2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,270.0,nM,OCC1(O)CC(NCC=Cc2ccccc2)C(O)C(O)C1O
CHEMBL4565442,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)c(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)c(Cl)cc4Cl)cc23)cc1,300.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)c(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)c(Cl)cc4Cl)cc23)cc1
CHEMBL3349446,OC[C@@]1(O)C[C@H](NCc2cccnc2)[C@H](O)[C@@H](O)[C@@H]1O,330.0,nM,OCC1(O)CC(NCc2cccnc2)C(O)C(O)C1O
CHEMBL4586665,O=C(NNC(=S)Nc1ccccc1F)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1ccccc1F)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4550413,O=C(NNC(=S)Nc1ccc(Cl)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1ccc(Cl)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4462975,Cc1cccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)c1,400.0,nM,Cc1cccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)c1
CHEMBL4466929,COc1cccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)c1,400.0,nM,COc1cccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)c1
CHEMBL4547036,O=C(NNC(=S)Nc1ccc(Cl)c(Cl)c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1ccc(Cl)c(Cl)c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4443246,Cc1ccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)cc1,400.0,nM,Cc1ccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)cc1
CHEMBL4526013,COc1ccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)cc1,400.0,nM,COc1ccc(NC(=S)NNC(=O)c2ccc(-c3nnc(-c4ccccc4Cl)o3)cc2)cc1
CHEMBL4464685,O=C(NNC(=S)Nc1ccc([N+](=O)[O-])cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1ccc([N+](=O)[O-])cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4543092,O=C(NNC(=S)Nc1ccccc1Br)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1ccccc1Br)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4553428,O=C(NNC(=S)Nc1cccc(F)c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1cccc(F)c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4555448,O=C(NNC(=S)Nc1ccc(Br)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1ccc(Br)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4554478,O=C(NNC(=S)Nc1cccc([N+](=O)[O-])c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1cccc([N+](=O)[O-])c1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4446128,COc1ccccc1NC(=S)NNC(=O)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,COc1ccccc1NC(=S)NNC(=O)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL4582866,O=C(NNC(=S)Nc1ccc(F)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1,400.0,nM,O=C(NNC(=S)Nc1ccc(F)cc1)c1ccc(-c2nnc(-c3ccccc3Cl)o2)cc1
CHEMBL3349434,OC[C@@]1(O)C[C@H](NC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,410.0,nM,OCC1(O)CC(NC2CCCCC2)C(O)C(O)C1O
CHEMBL3815109,CC(C)(C)CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],470.0,nM,CC(C)(C)COC(CO)C(O)C[S+]1CC(O)C(O)C1CO
CHEMBL4519690,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc23)cc1,500.0,nM,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc([N+](=O)[O-])cc4[N+](=O)[O-])cc23)cc1
CHEMBL3354623,C[C@@H](OCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)c1ccc(-c2ccccc2)cc1,500.0,nM,CC(OCCCCCN1CC(O)C(O)C(O)C1CO)c1ccc(-c2ccccc2)cc1
CHEMBL3349438,CC(C)=CCC/C(C)=C/CN[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,520.0,nM,CC(C)=CCCC(C)=CCNC1CC(O)(CO)C(O)C(O)C1O
CHEMBL4593597,O=C1NC(=O)/C(=C/c2ccc(-c3nc4ccccc4n3Cc3ccc(Cl)cc3)cc2)S1,540.0,nM,O=C1NC(=O)C(=Cc2ccc(-c3nc4ccccc4n3Cc3ccc(Cl)cc3)cc2)S1
